HousePrice,"HsPrc ($10,000)",CrimeRate,MilesPhila,PopChg,Name,County
140463,14.0463,29.7,10.0,-1.0,Abington,Montgome
113033,11.3033,24.1,18.0,4.0,Ambler,Montgome
124186,12.4186,19.5,25.0,8.0,Aston,Delaware
110490,11.049000000000001,49.4,25.0,2.7,Bensalem,Bucks
79124,7.9124,54.1,19.0,3.9,Bristol B.,Bucks
92634,9.2634,48.6,20.0,0.6,Bristol T.,Bucks
89246,8.9246,30.8,15.0,-2.6,Brookhaven,Delaware
195145,19.5145,10.8,20.0,-3.5,Bryn Athyn,Montgome
297342,29.7342,20.2,14.0,0.6,Bryn Mawr,Montgome
264298,26.4298,20.4,26.0,6.0,Buckingham,Bucks
134342,13.4342,17.3,31.0,4.2,Chalfont,Bucks
147600,14.76,50.3,9.0,-1.0,Cheltenham,Montgome
77370,7.737,34.2,10.0,-1.2,Clifton,Delaware
170822,17.0822,33.7,32.0,2.4,Collegeville,Montgome
40642,4.0642,45.7,15.0,0.0,Darby Bor.,Delaware
71359,7.1359,22.3,8.0,1.6,Darby Town,Delaware
104923,10.4923,48.1,21.0,6.9,Downingtown,Chester
190317,19.0317,19.4,26.0,1.9,Doylestown,Bucks
215512,21.5512,71.9,26.0,5.8,E. Bradford,Chester
178105,17.8105,45.1,25.0,2.3,E. Goshen,Chester
131025,13.1025,31.3,19.0,-1.8,E. Norriton,Montgome
149844,14.9844,24.9,22.0,6.4,E. Pikeland,Chester
170556,17.0556,27.2,30.0,4.6,E. Whiteland,Chester
280969,28.0969,17.7,14.0,2.9,Easttown,Chester
114233,11.4233,29.0,30.0,1.3,Falls Town,Bucks
74502,7.4502,21.4,15.0,-3.2,Follcroft,Delaware
475112,47.5112,28.6,12.0,,Gladwyne,Montgome
97167,9.7167,29.3,10.0,0.2,Glenolden,Delaware
114572,11.4572,17.5,20.0,5.2,Hatboro,Montgome
436348,43.6348,16.5,10.0,-0.7,Haverford,Delaware
389302,38.9302,17.8,20.0,1.5,Horsham,Montgome
122392,12.2392,17.3,10.0,1.9,Jenkintown,Montgome
130436,13.0436,31.2,17.0,-0.4,L Southampton,Delaware
