day,date,priceUSD
1,1.12.2017.,808.3333333
2,2.12.2017.,808.3333333
3,3.12.2017.,808.3333333
4,4.12.2017.,808.3333333
5,5.12.2017.,808.3333333
6,6.12.2017.,808.3333333
7,7.12.2017.,808.3333333
8,8.12.2017.,808.3333333
9,9.12.2017.,808.3333333
10,10.12.2017.,808.3333333
11,11.12.2017.,808.3333333
12,12.12.2017.,808.3333333
13,13.12.2017.,808.3333333
14,14.12.2017.,808.3333333
15,15.12.2017.,808.3333333
16,16.12.2017.,808.3333333
17,17.12.2017.,808.3333333
18,18.12.2017.,808.3333333
19,19.12.2017.,808.3333333
20,20.12.2017.,808.3333333
21,21.12.2017.,808.3333333
22,22.12.2017.,808.3333333
23,23.12.2017.,808.3333333
24,24.12.2017.,808.3333333
25,25.12.2017.,808.3333333
26,26.12.2017.,808.3333333
27,27.12.2017.,816.6666667
28,28.12.2017.,816.6666667
29,29.12.2017.,816.6666667
30,30.12.2017.,808.3333333
31,31.12.2017.,816.6666667
32,1.1.2018.,825
33,2.1.2018.,833.3333333
34,3.1.2018.,841.6666667
35,4.1.2018.,841.6666667
36,5.1.2018.,841.6666667
37,6.1.2018.,841.6666667
38,7.1.2018.,850
39,8.1.2018.,850
40,9.1.2018.,858.3333333
41,10.1.2018.,858.3333333
42,11.1.2018.,841.6666667
43,12.1.2018.,825
44,13.1.2018.,808.3333333
45,14.1.2018.,833.3333333
46,15.1.2018.,850
47,16.1.2018.,866.6666667
48,17.1.2018.,883.3333333
49,18.1.2018.,891.6666667
50,19.1.2018.,900
51,20.1.2018.,900
52,21.1.2018.,883.3333333
53,22.1.2018.,900
54,23.1.2018.,883.3333333
55,24.1.2018.,925
56,25.1.2018.,958.3333333
57,26.1.2018.,975
58,27.1.2018.,983.3333333
59,28.1.2018.,1008.333333
60,29.1.2018.,975
61,30.1.2018.,1008.333333
62,31.1.2018.,1008.333333
63,1.2.2018.,1016.666667
64,2.2.2018.,1033.333333
65,3.2.2018.,1058.333333
66,4.2.2018.,1075
67,5.2.2018.,1100
68,6.2.2018.,1108.333333
69,7.2.2018.,1133.333333
70,8.2.2018.,1158.333333
71,9.2.2018.,1141.666667
72,10.2.2018.,1100
73,11.2.2018.,1075
74,12.2.2018.,1058.333333
75,13.2.2018.,1075
76,14.2.2018.,1066.666667
77,15.2.2018.,1058.333333
78,16.2.2018.,1050
79,17.2.2018.,1066.666667
80,18.2.2018.,1083.333333
81,19.2.2018.,1083.333333
82,20.2.2018.,1091.666667
83,21.2.2018.,1100
84,22.2.2018.,1108.333333
85,23.2.2018.,1116.666667
86,24.2.2018.,1108.333333
87,25.2.2018.,1083.333333
88,26.2.2018.,1075
89,27.2.2018.,1091.666667
90,28.2.2018.,1100
91,1.3.2018.,1083.333333
92,2.3.2018.,1066.666667
93,3.3.2018.,1058.333333
94,4.3.2018.,1066.666667
95,5.3.2018.,1083.333333
96,6.3.2018.,1058.333333
97,7.3.2018.,1058.333333
98,8.3.2018.,1058.333333
99,9.3.2018.,1075
100,10.3.2018.,1083.333333
101,11.3.2018.,1083.333333
102,12.3.2018.,1075
103,13.3.2018.,1091.666667
104,14.3.2018.,1100
105,15.3.2018.,1091.666667
106,16.3.2018.,1108.333333
107,17.3.2018.,1083.333333
108,18.3.2018.,1116.666667
109,19.3.2018.,1083.333333
110,20.3.2018.,1091.666667
111,21.3.2018.,1100
112,22.3.2018.,1083.333333
113,23.3.2018.,1066.666667
114,24.3.2018.,1050
115,25.3.2018.,1075
116,26.3.2018.,1066.666667
117,27.3.2018.,1066.666667
118,28.3.2018.,1050
119,29.3.2018.,1041.666667
120,30.3.2018.,1100
121,31.3.2018.,1100
122,1.4.2018.,1091.666667
123,2.4.2018.,1041.666667
124,3.4.2018.,1041.666667
125,4.4.2018.,1033.333333
126,5.4.2018.,1041.666667
127,6.4.2018.,1025
128,7.4.2018.,1025
129,8.4.2018.,1025
130,9.4.2018.,1016.666667
131,10.4.2018.,1041.666667
132,11.4.2018.,1016.666667
133,12.4.2018.,1025
134,13.4.2018.,1041.666667
135,14.4.2018.,1033.333333
136,15.4.2018.,1041.666667
137,16.4.2018.,1058.333333
138,17.4.2018.,1058.333333
139,18.4.2018.,1058.333333
140,19.4.2018.,1066.666667
141,20.4.2018.,1050
142,21.4.2018.,1033.333333
143,22.4.2018.,1025
144,23.4.2018.,1025
145,24.4.2018.,1041.666667
146,25.4.2018.,1033.333333
147,26.4.2018.,1050
148,27.4.2018.,1058.333333
149,28.4.2018.,1033.333333
150,29.4.2018.,1041.666667
151,30.4.2018.,1041.666667
152,1.5.2018.,1008.333333
153,2.5.2018.,1025
154,3.5.2018.,1025
155,4.5.2018.,1008.333333
156,5.5.2018.,1016.666667
157,6.5.2018.,1008.333333
158,7.5.2018.,1000
159,8.5.2018.,983.3333333
160,9.5.2018.,983.3333333
161,10.5.2018.,991.6666667
162,11.5.2018.,958.3333333
163,12.5.2018.,958.3333333
164,13.5.2018.,950
165,14.5.2018.,941.6666667
166,15.5.2018.,941.6666667
167,16.5.2018.,925
168,17.5.2018.,925
169,18.5.2018.,925
170,19.5.2018.,925
171,20.5.2018.,925
172,21.5.2018.,966.6666667
173,22.5.2018.,975
174,23.5.2018.,991.6666667
175,24.5.2018.,975
176,25.5.2018.,958.3333333
177,26.5.2018.,941.6666667
178,27.5.2018.,975
179,28.5.2018.,966.6666667
180,29.5.2018.,941.6666667
181,30.5.2018.,925
182,31.5.2018.,925
